ID,PPG,RPG,APG,BPG,FT,FG,3PT,FT2,3PT2
338,7.7,4.9,1,1.5,0.765,0.685,0.333,0.765,0.333
335,17.7,4.9,6.8,0.1,0.9,0.489,0.362,0.9,0.362
347,0,0.7,0,0,,0,,NULL,NULL
334,19,3.7,4.1,0.2,0.839,0.468,0.381,0.839,0.381
360,4.3,4.8,1.2,0.4,0.655,0.291,0.25,0.655,0.25
355,10.4,2.2,4.6,0,0.885,0.393,0.345,0.885,0.345
352,5.5,5,0.7,1.4,0.674,0.468,0.356,0.674,0.356
358,3.8,4.5,0.9,0.5,0.612,0.487,0,0.612,0
357,7.2,3.3,2.4,0.5,0.828,0.434,0.294,0.828,0.294
361,2.5,2.6,0.2,0.4,1,0.357,0.286,1,0.286
363,6.8,4.1,1.1,0.5,0.882,0.412,0.303,0.882,0.303
351,18.8,2.6,3.2,0.2,0.82,0.47,0.406,0.82,0.406
362,1.2,0.3,0.1,0.1,0.5,0.353,0.571,0.5,0.571
349,12.1,3.3,5.2,0.2,0.723,0.473,0.254,0.723,0.254
353,14.4,7.6,3.7,0.6,0.675,0.433,0.301,0.675,0.301
359,12,6.9,1.4,2.4,0.767,0.463,0.33,0.767,0.33
356,5.3,2.5,1,0.2,0.816,0.397,0.313,0.816,0.313
350,14.8,3.2,1.2,0.3,0.845,0.407,0.357,0.845,0.357
354,19.5,11,3.7,0.9,0.781,0.47,0.329,0.781,0.329
379,10.7,3.3,1.8,0,0.889,0.39,0.327,0.889,0.327
374,23.4,11.8,3.1,1.3,0.814,0.474,0.348,0.814,0.348
363,5.8,3.1,0.8,0.3,0.787,0.442,0.349,0.787,0.349
366,19.4,6.8,3.2,0.5,0.806,0.472,0.362,0.806,0.362
369,12,6.9,4.1,0.9,0.753,0.442,0.337,0.753,0.337
367,9.7,2.3,1.1,0.2,0.736,0.432,0.397,0.736,0.397
375,9.5,2.1,2.2,0.2,0.765,0.498,0.453,0.765,0.453
372,4.3,1.1,1.6,0.1,0.839,0.451,0.394,0.839,0.394
376,3.3,3.8,1.3,0.8,0.526,0.486,0.304,0.526,0.304
377,2.1,3,0.4,1.3,0.5,0.514,,0.5,NULL
373,13.8,3.4,3.1,0.7,0.789,0.429,0.327,0.789,0.327
378,7.4,2.8,0.9,0.2,1,0.521,0.286,1,0.286
368,5.7,3.6,0.8,0.1,0.833,0.408,0.358,0.833,0.358
371,16.7,7.8,8.2,0.6,0.627,0.585,0.333,0.627,0.333
380,1.1,0.3,0.3,0,0.5,0.273,0,0.5,0
370,4.7,1.5,1.2,0.7,0.61,0.41,0.352,0.61,0.352
393,19,12,1.9,1.7,0.769,0.548,0,0.769,0
391,11.5,5.6,1.6,0.5,0.747,0.48,0.351,0.747,0.351
383,26.1,4.2,6.6,0.3,0.916,0.487,0.36,0.916,0.36
382,8.7,4,1.8,0.6,0.848,0.516,0.352,0.848,0.352
388,4.6,2,1.3,0.3,0.84,0.4,0.393,0.84,0.393
390,4.8,2.9,0.5,0.3,0.865,0.65,0.5,0.865,0.5
394,3.5,1.5,1.5,0.1,0.786,0.349,0.277,0.786,0.277
389,8.1,2.9,1.1,0.3,0.761,0.418,0.397,0.761,0.397
392,11,4.9,2.2,0.3,0.67,0.455,0.348,0.67,0.348
395,2.5,0,0.5,0,1,0.4,0,1,0
387,4,1.6,2.1,0.1,0.687,0.398,0.352,0.687,0.352
