id,Name,Weight,Height,College,Nationality,Experience,College2
403,Nassir Little,220,77,UNC,US,0,UNC
404,Mario Hezonja,201,80,,HR,4,Did not attend
405,Trevor Ariza,215,80,UCLA,US,15,UCLA
406,Rodney Hood,208,80,"Mississippi State, Duke",US,5,"Mississippi State, Duke"
407,Caleb Swanigan,260,81,Purdue,US,2,Purdue
408,Wenyen Gabriel,220,81,Kentucky,SD,0,Kentucky
409,Jaylen Hoard (TW),216,80,Wake Forest,FR,0,Wake Forest
410,Moses Brown (TW),245,86,UCLA,US,0,UCLA
411,Zach Collins,232,83,Gonzaga,US,2,Gonzaga
412,Jusuf NurkiÄ‡,280,84,,BA,5,Did not attend
413,Buddy Hield,220,76,Oklahoma,BS,3,Oklahoma
414,Harrison Barnes,225,80,UNC,US,7,UNC
415,Nemanja Bjelica,235,82,,RS,4,Did not attend
416,Cory Joseph,200,75,Texas,CA,8,Texas
417,Bogdan BogdanoviÄ‡,220,78,,RS,2,Did not attend
418,De'Aaron Fox,185,75,Kentucky,US,2,Kentucky
419,Yogi Ferrell,180,72,Indiana,US,3,Indiana
420,Richaun Holmes,240,82,Bowling Green,US,4,Bowling Green
421,Harry Giles,240,83,Duke,US,1,Duke
422,Justin James,190,79,Wyoming,US,0,Wyoming
423,Kent Bazemore,195,76,Old Dominion,US,7,Old Dominion
424,Marvin Bagley III,240,83,Duke,US,1,Duke
425,Alex Len,250,84,Maryland,UA,6,Maryland
426,DaQuan Jeffries (TW),216,77,"Oral Roberts, Tulsa",US,0,"Oral Roberts, Tulsa"
427,Kyle Guy (TW),170,73,Virginia,US,0,Virginia
428,Jabari Parker,245,80,Duke,US,5,Duke
429,Patty Mills,180,73,Saint Mary's,AU,10,Saint Mary's
430,Bryn Forbes,190,74,Michigan State,US,3,Michigan State
431,Trey Lyles,234,81,Kentucky,CA,4,Kentucky
432,DeMar DeRozan,220,78,USC,US,10,USC
433,Derrick White,190,76,"Colorado-Colorado Springs, Colorado",US,2,"Colorado-Colorado Springs, Colorado"
434,Rudy Gay,230,80,UConn,US,13,UConn
435,Dejounte Murray,170,76,Washington,US,2,Washington
436,Jakob Poeltl,230,85,Utah,AT,3,Utah
437,LaMarcus Aldridge,260,83,Texas,US,13,Texas
438,Lonnie Walker,205,77,Miami (FL),US,1,Miami (FL)
439,Marco Belinelli,210,77,,IT,12,Did not attend
440,Chimezie Metu,225,81,USC,US,1,USC
441,Drew Eubanks (TW),245,81,Oregon State,US,1,Oregon State
442,Keldon Johnson,211,77,Kentucky,US,0,Kentucky
443,Quinndary Weatherspoon (TW),207,75,Mississippi State,US,0,Mississippi State
444,Luka Å amaniÄ‡,227,82,,HR,0,Did not attend
